Bldg City,Bldg State,Bldg Status,Property Type,Total Parking Spaces,Owned/Leased
CHARLOTTE,NC,ACTIVE,STRUCTURE,5,LEASED
WINSTON SALEM,NC,ACTIVE,BUILDING,2,LEASED
CHARLOTTE,NC,ACTIVE,BUILDING,170,LEASED
RALEIGH,NC,ACTIVE,BUILDING,0,LEASED
RALEIGH,NC,ACTIVE,BUILDING,6,LEASED
AIKEN,SC,ACTIVE,BUILDING,12,OWNED
ANDERSON,SC,ACTIVE,BUILDING,21,OWNED
COLUMBIA,SC,ACTIVE,BUILDING,88,OWNED
CHARLESTON,SC,ACTIVE,BUILDING,72,OWNED
CHARLESTON,SC,ACTIVE,BUILDING,0,OWNED
COLUMBIA,SC,ACTIVE,STRUCTURE,893,OWNED
GREENVILLE,SC,ACTIVE,BUILDING,0,OWNED
COLUMBIA,SC,ACTIVE,BUILDING,52,OWNED
COLUMBIA,SC,ACTIVE,BUILDING,0,OWNED
GREENVILLE,SC,ACTIVE,BUILDING,40,OWNED
SPARTANBURG,SC,ACTIVE,BUILDING,27,OWNED
RIDGELAND,SC,ACTIVE,BUILDING,6,LEASED
FLORENCE,SC,ACTIVE,BUILDING,152,OWNED
COLUMBIA,SC,ACTIVE,BUILDING,88,OWNED
COLUMBIA,SC,ACTIVE,BUILDING,4,OWNED
CHARLESTON,SC,ACTIVE,BUILDING,74,OWNED
NORTH CHARLESTON,SC,ACTIVE,BUILDING,6,LEASED
CHARLESTON,SC,ACTIVE,BUILDING,84,LEASED
COLUMBIA,SC,ACTIVE,BUILDING,0,LEASED
PORT ROYAL,SC,ACTIVE,BUILDING,3,LEASED
COLUMBIA,SC,ACTIVE,BUILDING,77,LEASED
COLUMBIA,SC,ACTIVE,BUILDING,0,LEASED
COLUMBIA,SC,ACTIVE,BUILDING,12,LEASED
GREER,SC,ACTIVE,BUILDING,10,LEASED
CHARLESTON,SC,ACTIVE,BUILDING,103,LEASED
CHARLESTON,SC,ACTIVE,BUILDING,0,LEASED
COLUMBIA,SC,ACTIVE,BUILDING,0,LEASED
CHARLESTON,SC,ACTIVE,BUILDING,11,LEASED
GREENVILLE,SC,ACTIVE,BUILDING,10,LEASED
COLUMBIA,SC,ACTIVE,BUILDING,15,LEASED
COLUMBIA,SC,ACTIVE,BUILDING,22,LEASED
COLUMBIA,SC,ACTIVE,BUILDING,20,LEASED
COLUMBIA,SC,ACTIVE,BUILDING,93,LEASED
NORTH CHARLESTON,SC,ACTIVE,BUILDING,25,LEASED
GREENVILLE,SC,ACTIVE,BUILDING,5,LEASED
SUMTER,SC,ACTIVE,BUILDING,54,LEASED
GREER,SC,ACTIVE,BUILDING,4,LEASED
COLUMBIA,SC,ACTIVE,BUILDING,58,LEASED
GREENVILLE,SC,ACTIVE,BUILDING,0,LEASED
FLORENCE,SC,ACTIVE,BUILDING,1,LEASED
GEORGETOWN,SC,ACTIVE,BUILDING,42,LEASED
MYRTLE BEACH,SC,ACTIVE,BUILDING,6,LEASED
GREENVILLE,SC,ACTIVE,BUILDING,11,LEASED
CONWAY,SC,ACTIVE,BUILDING,0,LEASED
CHARLESTON,SC,ACTIVE,BUILDING,160,LEASED
NORTH CHARLESTON,SC,ACTIVE,BUILDING,34,LEASED
CHARLESTON,SC,ACTIVE,BUILDING,11,LEASED
CLINTON,SC,ACTIVE,BUILDING,40,LEASED
GREENVILLE,SC,ACTIVE,BUILDING,49,LEASED
GREENWOOD,SC,ACTIVE,BUILDING,56,LEASED
AIKEN,SC,ACTIVE,BUILDING,67,LEASED
CHARLESTON,SC,ACTIVE,BUILDING,4,LEASED
NORTH CHARLESTON,SC,ACTIVE,BUILDING,87,LEASED
SPARTANBURG,SC,ACTIVE,BUILDING,39,LEASED
ROCK HILL,SC,ACTIVE,BUILDING,4,LEASED
GREENVILLE,SC,ACTIVE,BUILDING,3,LEASED
CHARLESTON,SC,ACTIVE,BUILDING,0,LEASED
COLUMBIA,SC,ACTIVE,BUILDING,5,LEASED
GREENVILLE,SC,ACTIVE,BUILDING,0,LEASED
CHARLESTON,SC,ACTIVE,BUILDING,83,LEASED
WALTERBORO,SC,ACTIVE,BUILDING,33,LEASED
GREER,SC,ACTIVE,BUILDING,16,LEASED
MYRTLE BEACH,SC,ACTIVE,BUILDING,4,LEASED
BLUFFTON,SC,ACTIVE,BUILDING,3,LEASED
GREER,SC,ACTIVE,BUILDING,0,LEASED
WEST COLUMBIA,SC,ACTIVE,BUILDING,0,LEASED
FLORENCE,SC,ACTIVE,BUILDING,0,LEASED
FLORENCE,SC,ACTIVE,BUILDING,12,LEASED
FLORENCE,SC,ACTIVE,BUILDING,0,LEASED
SUMTER,SC,ACTIVE,BUILDING,23,LEASED
IRMO,SC,ACTIVE,BUILDING,18,LEASED
NORTH AUGUSTA,SC,ACTIVE,BUILDING,15,LEASED
HILTON HEAD ISLAND,SC,ACTIVE,BUILDING,0,LEASED
GREENVILLE,SC,ACTIVE,BUILDING,0,LEASED
MYRTLE BEACH,SC,ACTIVE,BUILDING,0,LEASED
GREENVILLE,SC,ACTIVE,BUILDING,99,LEASED
GREENVILLE,SC,ACTIVE,BUILDING,11,LEASED
MYRTLE BEACH,SC,ACTIVE,BUILDING,5,LEASED
NORTH CHARLESTON,SC,ACTIVE,BUILDING,21,LEASED
MT PLEASANT,SC,ACTIVE,BUILDING,20,LEASED
GREENVILLE,SC,ACTIVE,BUILDING,7,LEASED
BEAUFORT,SC,ACTIVE,BUILDING,38,LEASED
SPARTANBURG,SC,ACTIVE,BUILDING,1,LEASED
BENNETTSVILLE,SC,ACTIVE,BUILDING,46,LEASED
MYRTLE BEACH,SC,ACTIVE,BUILDING,4,LEASED
AIKEN,SC,ACTIVE,BUILDING,26,LEASED
AIKEN,SC,ACTIVE,BUILDING,5,LEASED
FLORENCE,SC,ACTIVE,BUILDING,20,LEASED
NORTH CHARLESTON,SC,ACTIVE,BUILDING,60,LEASED
GREER,SC,ACTIVE,BUILDING,56,LEASED
GREENVILLE,SC,ACTIVE,BUILDING,4,LEASED
ROCK HILL,SC,ACTIVE,BUILDING,53,LEASED
ORANGEBURG,SC,ACTIVE,BUILDING,42,LEASED
FLORENCE,SC,ACTIVE,BUILDING,8,LEASED
ANDERSON,SC,ACTIVE,BUILDING,0,LEASED
KNOXVILLE,TN,ACTIVE,BUILDING,63,OWNED
MEMPHIS,TN,ACTIVE,BUILDING,1255,OWNED
CHATTANOOGA,TN,ACTIVE,BUILDING,88,OWNED
MEMPHIS,TN,ACTIVE,BUILDING,88,LEASED
COLUMBIA,TN,ACTIVE,BUILDING,22,OWNED
COOKEVILLE,TN,ACTIVE,BUILDING,27,OWNED
GREENEVILLE,TN,ACTIVE,BUILDING,72,OWNED
NASHVILLE,TN,ACTIVE,BUILDING,544,OWNED
KINGSTON,TN,ACTIVE,BUILDING,2,LEASED
KNOXVILLE,TN,ACTIVE,BUILDING,0,OWNED
JACKSON,TN,ACTIVE,BUILDING,38,OWNED
NASHVILLE,TN,ACTIVE,BUILDING,0,OWNED
KNOXVILLE,TN,ACTIVE,BUILDING,91,OWNED
MEMPHIS,TN,ACTIVE,BUILDING,218,OWNED
WINCHESTER,TN,ACTIVE,BUILDING,32,OWNED
OAK RIDGE,TN,ACTIVE,BUILDING,415,OWNED
NASHVILLE,TN,ACTIVE,BUILDING,0,OWNED
NASHVILLE,TN,ACTIVE,STRUCTURE,637,OWNED
MURFREESBORO,TN,ACTIVE,BUILDING,10,LEASED
KNOXVILLE,TN,ACTIVE,STRUCTURE,5,LEASED
CHATTANOOGA,TN,ACTIVE,BUILDING,0,LEASED
KNOXVILLE,TN,ACTIVE,BUILDING,110,LEASED
NASHVILLE,TN,ACTIVE,BUILDING,86,LEASED
NASHVILLE,TN,ACTIVE,BUILDING,0,LEASED
CHATTANOOGA,TN,ACTIVE,BUILDING,8,LEASED
MADISON,TN,ACTIVE,BUILDING,0,LEASED
NASHVILLE,TN,ACTIVE,BUILDING,0,LEASED
NASHVILLE,TN,ACTIVE,BUILDING,3,LEASED
KNOXVILLE,TN,ACTIVE,BUILDING,0,LEASED
CHATTANOOGA,TN,ACTIVE,BUILDING,4,LEASED
CHATTANOOGA,TN,ACTIVE,BUILDING,5,LEASED
NASHVILLE,TN,ACTIVE,BUILDING,7,LEASED
COOKEVILLE,TN,ACTIVE,BUILDING,5,LEASED
NASHVILLE,TN,ACTIVE,BUILDING,80,LEASED
MEMPHIS,TN,ACTIVE,BUILDING,19,LEASED
MEMPHIS,TN,ACTIVE,BUILDING,9,LEASED
MEMPHIS,TN,ACTIVE,BUILDING,14,LEASED
NASHVILLE,TN,ACTIVE,BUILDING,1,LEASED
MEMPHIS,TN,ACTIVE,BUILDING,34,LEASED
CHATTANOOGA,TN,ACTIVE,BUILDING,25,LEASED
NASHVILLE,TN,ACTIVE,BUILDING,0,LEASED
NASHVILLE,TN,ACTIVE,BUILDING,0,LEASED
KNOXVILLE,TN,ACTIVE,BUILDING,20,LEASED
JACKSON,TN,ACTIVE,BUILDING,25,LEASED
JACKSON,TN,ACTIVE,BUILDING,24,LEASED
NASHVILLE,TN,ACTIVE,BUILDING,0,LEASED
NASHVILLE,TN,ACTIVE,BUILDING,155,LEASED
KINGSPORT,TN,ACTIVE,BUILDING,168,LEASED
KNOXVILLE,TN,ACTIVE,BUILDING,6,LEASED
CHATTANOOGA,TN,ACTIVE,BUILDING,0,LEASED
BRENTWOOD,TN,ACTIVE,BUILDING,28,LEASED
CHATTANOOGA,TN,ACTIVE,BUILDING,110,LEASED
MEMPHIS,TN,ACTIVE,BUILDING,23,LEASED
MCMINNVILLE,TN,ACTIVE,BUILDING,30,LEASED
FRANKLIN,TN,ACTIVE,BUILDING,37,LEASED
TULLAHOMA,TN,ACTIVE,BUILDING,39,LEASED
BRENTWOOD,TN,ACTIVE,BUILDING,31,LEASED
ATHENS,TN,ACTIVE,BUILDING,40,LEASED
SMYRNA,TN,ACTIVE,BUILDING,0,LEASED
CLARKSVILLE,TN,ACTIVE,BUILDING,7,LEASED
NASHVILLE,TN,ACTIVE,BUILDING,52,LEASED
BRENTWOOD,TN,ACTIVE,BUILDING,7,LEASED
MADISON,TN,ACTIVE,BUILDING,24,LEASED
JACKSON,TN,ACTIVE,BUILDING,55,LEASED
MEMPHIS,TN,ACTIVE,BUILDING,2,LEASED
GALLATIN,TN,ACTIVE,BUILDING,50,LEASED
NASHVILLE,TN,ACTIVE,BUILDING,0,LEASED
COLUMBIA,TN,ACTIVE,BUILDING,0,LEASED
ALCOA,TN,ACTIVE,BUILDING,0,LEASED
ALCOA,TN,ACTIVE,BUILDING,32,LEASED
NASHVILLE,TN,ACTIVE,BUILDING,25,LEASED
DYERSBURG,TN,ACTIVE,BUILDING,9,LEASED
CHATTANOOGA,TN,ACTIVE,BUILDING,0,LEASED
BLOUNTVILLE,TN,ACTIVE,BUILDING,0,LEASED
MEMPHIS,TN,ACTIVE,BUILDING,50,LEASED
MEMPHIS,TN,ACTIVE,BUILDING,4,LEASED
MEMPHIS,TN,ACTIVE,BUILDING,14,LEASED
JOHNSON CITY,TN,ACTIVE,BUILDING,73,LEASED
NASHVILLE,TN,ACTIVE,BUILDING,18,LEASED
MEMPHIS,TN,ACTIVE,BUILDING,35,LEASED
OAK RIDGE,TN,ACTIVE,BUILDING,52,LEASED
COOKEVILLE,TN,ACTIVE,BUILDING,80,LEASED
MEMPHIS,TN,ACTIVE,BUILDING,6,LEASED
CLEVELAND,TN,ACTIVE,BUILDING,0,LEASED
COOKEVILLE,TN,ACTIVE,BUILDING,9,LEASED
DYERSBURG,TN,ACTIVE,BUILDING,44,LEASED
TULLAHOMA,TN,ACTIVE,BUILDING,2,LEASED
MEMPHIS,TN,ACTIVE,BUILDING,100,LEASED
GREENEVILLE,TN,ACTIVE,BUILDING,0,LEASED
KNOXVILLE,TN,ACTIVE,BUILDING,0,LEASED
NASHVILLE,TN,ACTIVE,BUILDING,93,LEASED
MORRISTOWN,TN,ACTIVE,BUILDING,61,LEASED
CLARKSVILLE,TN,ACTIVE,BUILDING,3,LEASED
JOHNSON CITY,TN,ACTIVE,BUILDING,67,LEASED
MEMPHIS,TN,ACTIVE,BUILDING,0,LEASED
MEMPHIS,TN,ACTIVE,BUILDING,7,LEASED
PARIS,TN,ACTIVE,BUILDING,38,LEASED
KNOXVILLE,TN,ACTIVE,STRUCTURE,32,LEASED
MEMPHIS,TN,ACTIVE,BUILDING,2,LEASED
JACKSBORO,TN,ACTIVE,BUILDING,34,LEASED
SELMER,TN,ACTIVE,BUILDING,42,LEASED
MORRISTOWN,TN,ACTIVE,BUILDING,3,LEASED
OAK RIDGE,TN,ACTIVE,BUILDING,50,LEASED
KNOXVILLE,TN,ACTIVE,BUILDING,0,LEASED
NASHVILLE,TN,ACTIVE,BUILDING,80,LEASED
NASHVILLE,TN,ACTIVE,BUILDING,17,LEASED
NASHVILLE,TN,ACTIVE,STRUCTURE,0,OWNED
MURFREESBORO,TN,ACTIVE,BUILDING,40,LEASED
CHATTANOOGA,TN,ACTIVE,BUILDING,0,LEASED
MEMPHIS,TN,ACTIVE,BUILDING,11,LEASED
UNION CITY,TN,ACTIVE,BUILDING,33,LEASED
SEVIERVILLE,TN,ACTIVE,BUILDING,49,LEASED
NASHVILLE,TN,ACTIVE,BUILDING,49,LEASED
MEMPHIS,TN,ACTIVE,BUILDING,113,LEASED
KNOXVILLE,TN,ACTIVE,BUILDING,1,LEASED
JACKSBORO,TN,ACTIVE,BUILDING,13,LEASED
COOKEVILLE,TN,ACTIVE,BUILDING,4,LEASED
KNOXVILLE,TN,ACTIVE,BUILDING,267,LEASED
CLARKSVILLE,TN,ACTIVE,BUILDING,43,LEASED
CHATTANOOGA,TN,ACTIVE,BUILDING,158,LEASED
GALLATIN,TN,ACTIVE,BUILDING,42,LEASED
MEMPHIS,TN,ACTIVE,BUILDING,24,LEASED
KNOXVILLE,TN,ACTIVE,BUILDING,11,LEASED
NASHVILLE,TN,ACTIVE,BUILDING,19,LEASED
NASHVILLE,TN,ACTIVE,BUILDING,116,LEASED
JOHNSON CITY,TN,ACTIVE,BUILDING,18,LEASED
FRANKLIN,TN,ACTIVE,BUILDING,86,LEASED
NASHVILLE,TN,ACTIVE,BUILDING,5,LEASED
CHATTANOOGA,TN,ACTIVE,BUILDING,34,LEASED
LAWRENCEBURG,TN,ACTIVE,BUILDING,38,LEASED
MURFREESBORO,TN,ACTIVE,BUILDING,18,LEASED
MEMPHIS,TN,ACTIVE,BUILDING,76,LEASED
KNOXVILLE,TN,ACTIVE,BUILDING,7,LEASED
JACKSON,TN,ACTIVE,BUILDING,13,LEASED
NASHVILLE,TN,ACTIVE,BUILDING,45,LEASED
NASHVILLE,TN,ACTIVE,BUILDING,6,LEASED
NASHVILLE,TN,ACTIVE,BUILDING,4,LEASED
MEMPHIS,TN,ACTIVE,BUILDING,1,LEASED
CHATTANOOGA,TN,ACTIVE,BUILDING,49,LEASED
NASHVILLE,TN,ACTIVE,BUILDING,6,LEASED
MEMPHIS,TN,ACTIVE,BUILDING,1,LEASED
CHATTANOOGA,TN,ACTIVE,BUILDING,23,LEASED
KNOXVILLE,TN,ACTIVE,BUILDING,0,LEASED
CHATTANOOGA,TN,ACTIVE,BUILDING,0,LEASED
NASHVILLE,TN,ACTIVE,BUILDING,25,LEASED
WARTBURG,TN,ACTIVE,BUILDING,3,LEASED
KNOXVILLE,TN,ACTIVE,BUILDING,0,LEASED
JOHNSON CITY,TN,ACTIVE,BUILDING,15,LEASED
NASHVILLE,TN,ACTIVE,BUILDING,0,LEASED
WARTBURG,TN,ACTIVE,BUILDING,0,LEASED
MEMPHIS,TN,ACTIVE,BUILDING,26,LEASED
FRANKLIN,TN,ACTIVE,BUILDING,674,LEASED
CHICAGO,IL,ACTIVE,BUILDING,58,OWNED
CHICAGO,IL,ACTIVE,BUILDING,0,OWNED
CHICAGO,IL,ACTIVE,BUILDING,0,OWNED
DANVILLE,IL,EXCESS,BUILDING,21,OWNED
EAST ST LOUIS,IL,ACTIVE,BUILDING,31,OWNED
PEORIA,IL,ACTIVE,BUILDING,14,OWNED
SPRINGFIELD,IL,ACTIVE,BUILDING,43,OWNED
ROCK ISLAND,IL,ACTIVE,BUILDING,42,LEASED
BENTON,IL,ACTIVE,BUILDING,29,OWNED
CHICAGO,IL,ACTIVE,BUILDING,118,OWNED
ALTON,IL,ACTIVE,BUILDING,36,OWNED
CHICAGO,IL,ACTIVE,BUILDING,80,OWNED
QUINCY,IL,ACTIVE,BUILDING,22,OWNED
EAST ST LOUIS,IL,ACTIVE,BUILDING,46,OWNED
MOUNT VERNON,IL,ACTIVE,BUILDING,38,OWNED
CHICAGO,IL,ACTIVE,STRUCTURE,888,OWNED
CHICAGO,IL,ACTIVE,BUILDING,12,OWNED
CHICAGO,IL,ACTIVE,BUILDING,48,OWNED
CHICAGO,IL,ACTIVE,BUILDING,36,OWNED
CARBONDALE,IL,ACTIVE,BUILDING,61,OWNED
MORRIS,IL,ACTIVE,BUILDING,0,LEASED
CHICAGO,IL,ACTIVE,BUILDING,72,OWNED
EAST ST LOUIS,IL,ACTIVE,BUILDING,216,OWNED
URBANA,IL,ACTIVE,BUILDING,77,OWNED
CHICAGO,IL,ACTIVE,BUILDING,64,OWNED
ROCKFORD,IL,ACTIVE,BUILDING,70,OWNED
CHICAGO,IL,ACTIVE,BUILDING,0,OWNED
CHICAGO,IL,ACTIVE,BUILDING,0,OWNED
CHICAGO,IL,ACTIVE,BUILDING,0,OWNED
CHICAGO,IL,ACTIVE,BUILDING,0,OWNED
CHICAGO,IL,ACTIVE,BUILDING,0,OWNED
CHICAGO,IL,ACTIVE,BUILDING,0,OWNED
CHICAGO,IL,ACTIVE,STRUCTURE,0,OWNED
DECATUR,IL,ACTIVE,BUILDING,0,LEASED
ROSEMONT,IL,ACTIVE,BUILDING,4,LEASED
PARK RIDGE,IL,ACTIVE,BUILDING,4,LEASED
DES PLAINES,IL,ACTIVE,BUILDING,760,LEASED
CHICAGO,IL,ACTIVE,BUILDING,0,LEASED
ELK GROVE VILLAGE,IL,ACTIVE,BUILDING,33,LEASED
DECATUR,IL,ACTIVE,BUILDING,13,LEASED
NORTH RIVERSIDE,IL,ACTIVE,BUILDING,29,LEASED
GLEN ELLYN,IL,ACTIVE,BUILDING,0,LEASED
LOMBARD,IL,ACTIVE,BUILDING,37,LEASED
CHICAGO,IL,ACTIVE,BUILDING,0,OWNED
DES PLAINES,IL,ACTIVE,BUILDING,11,LEASED
CHICAGO,IL,ACTIVE,BUILDING,0,LEASED
CALUMET CITY,IL,ACTIVE,BUILDING,20,LEASED
CHICAGO,IL,ACTIVE,BUILDING,2,LEASED
LISLE,IL,ACTIVE,BUILDING,10,LEASED
PERU,IL,ACTIVE,BUILDING,0,LEASED
HINSDALE,IL,ACTIVE,BUILDING,3,LEASED
CHAMPAIGN,IL,ACTIVE,BUILDING,12,LEASED
BLOOMINGTON,IL,ACTIVE,BUILDING,14,LEASED
SPRINGFIELD,IL,ACTIVE,BUILDING,0,LEASED
CHICAGO,IL,ACTIVE,BUILDING,0,LEASED
FAIRVIEW HEIGHTS,IL,ACTIVE,BUILDING,29,LEASED
WILLOWBROOK,IL,ACTIVE,BUILDING,0,LEASED
SPRINGFIELD,IL,ACTIVE,BUILDING,0,LEASED
CHICAGO,IL,ACTIVE,BUILDING,0,LEASED
SPRINGFIELD,IL,ACTIVE,BUILDING,0,LEASED
SPRINGFIELD,IL,ACTIVE,BUILDING,95,LEASED
CHICAGO,IL,ACTIVE,BUILDING,23,LEASED
BEDFORD PARK,IL,ACTIVE,BUILDING,45,LEASED
CHICAGO,IL,ACTIVE,BUILDING,0,LEASED
ROCKFORD,IL,ACTIVE,BUILDING,16,LEASED
CHICAGO,IL,ACTIVE,BUILDING,2,LEASED
OAKBROOK TERRACE,IL,ACTIVE,BUILDING,40,LEASED
CHICAGO,IL,ACTIVE,BUILDING,1,LEASED
FAIRVIEW HEIGHTS,IL,ACTIVE,BUILDING,0,LEASED
SPRINGFIELD,IL,ACTIVE,BUILDING,10,LEASED
BENTON,IL,ACTIVE,BUILDING,26,LEASED
GALESBURG,IL,ACTIVE,BUILDING,56,LEASED
CHICAGO,IL,ACTIVE,BUILDING,0,LEASED
ROCKFORD,IL,ACTIVE,BUILDING,6,LEASED
PEORIA,IL,ACTIVE,BUILDING,7,LEASED
EVANSTON,IL,ACTIVE,BUILDING,5,LEASED
CHICAGO,IL,ACTIVE,BUILDING,4,LEASED
MOLINE,IL,ACTIVE,BUILDING,12,LEASED
FAIRVIEW HEIGHTS,IL,ACTIVE,BUILDING,3,LEASED
ROLLING MEADOWS,IL,ACTIVE,BUILDING,23,LEASED
ELMHURST,IL,ACTIVE,BUILDING,0,LEASED
CHICAGO,IL,ACTIVE,BUILDING,45,LEASED
LISLE,IL,ACTIVE,BUILDING,18,LEASED
BENSENVILLE,IL,ACTIVE,BUILDING,20,LEASED
LISLE,IL,ACTIVE,BUILDING,48,LEASED
EVANSTON,IL,ACTIVE,BUILDING,0,LEASED
CHICAGO,IL,ACTIVE,STRUCTURE,232,LEASED
CHICAGO,IL,ACTIVE,BUILDING,58,LEASED
CHICAGO,IL,ACTIVE,BUILDING,60,LEASED
GURNEE,IL,ACTIVE,BUILDING,4,LEASED
HILLSIDE,IL,ACTIVE,BUILDING,50,LEASED
ROCK ISLAND,IL,ACTIVE,BUILDING,13,LEASED
DOWNERS GROVE,IL,ACTIVE,BUILDING,275,LEASED
CHAMPAIGN,IL,ACTIVE,BUILDING,27,LEASED
EFFINGHAM,IL,ACTIVE,BUILDING,20,LEASED
CHICAGO,IL,ACTIVE,BUILDING,95,LEASED
SPRINGFIELD,IL,ACTIVE,BUILDING,0,LEASED
SPRINGFIELD,IL,ACTIVE,BUILDING,0,LEASED
STERLING,IL,ACTIVE,BUILDING,20,LEASED
BLOOMINGDALE,IL,ACTIVE,BUILDING,43,LEASED
CHICAGO,IL,ACTIVE,BUILDING,98,LEASED
DARIEN,IL,ACTIVE,BUILDING,5,LEASED
SPRINGFIELD,IL,ACTIVE,BUILDING,7,LEASED
CHICAGO,IL,ACTIVE,BUILDING,43,LEASED
CHICAGO,IL,ACTIVE,BUILDING,0,LEASED
CHAMPAIGN,IL,ACTIVE,BUILDING,17,LEASED
BLOOMINGTON,IL,ACTIVE,BUILDING,40,LEASED
JOLIET,IL,ACTIVE,BUILDING,0,LEASED
HARRISBURG,IL,ACTIVE,BUILDING,24,LEASED
ROCK ISLAND,IL,ACTIVE,BUILDING,36,LEASED
ROCKFORD,IL,ACTIVE,BUILDING,63,LEASED
SPRINGFIELD,IL,ACTIVE,BUILDING,14,LEASED
KANKAKEE,IL,ACTIVE,BUILDING,24,LEASED
CHICAGO HTS,IL,ACTIVE,BUILDING,73,LEASED
WEST FRANKFORT,IL,ACTIVE,BUILDING,30,LEASED
DECATUR,IL,ACTIVE,BUILDING,30,LEASED
WOODRIDGE,IL,ACTIVE,BUILDING,38,LEASED
CHICAGO,IL,ACTIVE,BUILDING,29,LEASED
CHICAGO,IL,ACTIVE,BUILDING,45,LEASED
SPRINGFIELD,IL,ACTIVE,BUILDING,18,LEASED
PEORIA,IL,ACTIVE,BUILDING,17,LEASED
ROCKFORD,IL,ACTIVE,BUILDING,0,LEASED
WAUKEGAN,IL,ACTIVE,BUILDING,44,LEASED
DES PLAINES,IL,ACTIVE,BUILDING,24,LEASED
FAIRVIEW HEIGHTS,IL,ACTIVE,BUILDING,45,LEASED
BARRINGTON,IL,ACTIVE,BUILDING,0,LEASED
DOWNERS GROVE,IL,ACTIVE,BUILDING,0,LEASED
DES PLAINES,IL,ACTIVE,BUILDING,12,LEASED
ARLINGTON HTS,IL,ACTIVE,BUILDING,150,LEASED
ELGIN,IL,ACTIVE,BUILDING,42,LEASED
NORTH AURORA,IL,ACTIVE,BUILDING,4,LEASED
CHICAGO,IL,ACTIVE,BUILDING,23,LEASED
SPRINGFIELD,IL,ACTIVE,BUILDING,22,LEASED
CHICAGO,IL,ACTIVE,BUILDING,3,LEASED
PALOS HILLS,IL,ACTIVE,BUILDING,60,LEASED
SPRINGFIELD,IL,ACTIVE,BUILDING,130,LEASED
CHICAGO,IL,ACTIVE,BUILDING,31,LEASED
CHICAGO,IL,ACTIVE,BUILDING,0,LEASED
ORLAND PARK,IL,ACTIVE,BUILDING,124,LEASED
FREEPORT,IL,ACTIVE,BUILDING,15,LEASED
PEORIA,IL,ACTIVE,BUILDING,74,LEASED
WOODSTOCK,IL,ACTIVE,BUILDING,30,LEASED
LITCHFIELD,IL,ACTIVE,BUILDING,18,LEASED
SPRINGFIELD,IL,ACTIVE,BUILDING,10,LEASED
PEKIN,IL,ACTIVE,BUILDING,30,LEASED
MOLINE,IL,ACTIVE,BUILDING,13,LEASED
LISLE,IL,ACTIVE,BUILDING,266,LEASED
QUINCY,IL,ACTIVE,BUILDING,8,LEASED
CHICAGO,IL,ACTIVE,BUILDING,0,LEASED
SAVOY,IL,ACTIVE,BUILDING,3,LEASED
OAK BROOK,IL,ACTIVE,BUILDING,81,LEASED
PEORIA,IL,ACTIVE,BUILDING,5,LEASED
MARION,IL,ACTIVE,BUILDING,2,LEASED
BLOOMINGTON,IL,ACTIVE,BUILDING,29,LEASED
QUINCY,IL,ACTIVE,BUILDING,0,LEASED
SPRINGFIELD,IL,ACTIVE,BUILDING,5,LEASED
CHICAGO,IL,ACTIVE,BUILDING,835,LEASED
DOWNERS GROVE,IL,ACTIVE,BUILDING,30,LEASED
DECATUR,IL,ACTIVE,BUILDING,0,LEASED
ROCKFORD,IL,ACTIVE,BUILDING,2,LEASED
SPRINGFIELD,IL,ACTIVE,BUILDING,25,LEASED
SPRINGFIELD,IL,ACTIVE,BUILDING,216,LEASED
ROSEMONT,IL,ACTIVE,BUILDING,22,LEASED
PEORIA,IL,ACTIVE,BUILDING,60,LEASED
OAKBROOK TERRACE,IL,ACTIVE,BUILDING,21,LEASED
SPRINGFIELD,IL,ACTIVE,BUILDING,0,LEASED
O FALLON,IL,ACTIVE,BUILDING,12,LEASED
BELLEVILLE,IL,ACTIVE,BUILDING,4,LEASED
DE KALB,IL,ACTIVE,BUILDING,10,LEASED
FAIRVIEW HEIGHTS,IL,ACTIVE,BUILDING,10,LEASED
PERU,IL,ACTIVE,BUILDING,26,LEASED
BENTON,IL,ACTIVE,BUILDING,7,LEASED
ORLAND PARK,IL,ACTIVE,BUILDING,25,LEASED
URBANA,IL,ACTIVE,BUILDING,8,LEASED
CHICAGO,IL,ACTIVE,BUILDING,6,LEASED
MARION,IL,ACTIVE,BUILDING,9,LEASED
BELLEVILLE,IL,ACTIVE,BUILDING,38,LEASED
ROSEMONT,IL,ACTIVE,BUILDING,30,LEASED
AURORA,IL,ACTIVE,BUILDING,60,LEASED
BLOOMINGTON,IL,ACTIVE,BUILDING,400,LEASED
CHAMPAIGN,IL,ACTIVE,BUILDING,9,LEASED
ROSEMONT,IL,ACTIVE,BUILDING,336,LEASED
FAIRVIEW HEIGHTS,IL,ACTIVE,BUILDING,60,LEASED
CHICAGO,IL,ACTIVE,STRUCTURE,102,LEASED
MOLINE,IL,ACTIVE,BUILDING,35,LEASED
SPRINGFIELD,IL,ACTIVE,BUILDING,80,LEASED
SPRINGFIELD,IL,ACTIVE,BUILDING,0,LEASED
MASCOUTAH,IL,ACTIVE,BUILDING,0,LEASED
DANVILLE,IL,ACTIVE,BUILDING,31,LEASED
OAK BROOK,IL,ACTIVE,BUILDING,2,LEASED
BROADVIEW,IL,ACTIVE,STRUCTURE,40,LEASED
WEST CHICAGO,IL,ACTIVE,BUILDING,0,LEASED
CHICAGO,IL,ACTIVE,BUILDING,5,LEASED
SPRINGFIELD,IL,ACTIVE,BUILDING,81,LEASED
